<img src="jlptsenseigrammar-n3-1.png">|上げる（あげる）
<img src="jlptsenseigrammar-n3-56.png">|まさか
<img src="jlptsenseigrammar-n3-57.png">|めったに～ない
<img src="jlptsenseigrammar-n3-58.png">|も～ば～も
<img src="jlptsenseigrammar-n3-59.png">|もしかしたら
<img src="jlptsenseigrammar-n3-60.png">|もしも〜たら
<img src="jlptsenseigrammar-n3-61.png">|向け（むけ）
<img src="jlptsenseigrammar-n3-62.png">|向き（むき）
<img src="jlptsenseigrammar-n3-63.png">|むしろ
<img src="jlptsenseigrammar-n3-64.png">|ながらも
<img src="jlptsenseigrammar-n3-65.png">|ないことはない
<img src="jlptsenseigrammar-n3-66.png">|ないと
<img src="jlptsenseigrammar-n3-67.png">|なかなか
<img src="jlptsenseigrammar-n3-68.png">|なんか / なんて / など
<img src="jlptsenseigrammar-n3-69.png">|直す（なおす）
<img src="jlptsenseigrammar-n3-70.png">|なるべく
<img src="jlptsenseigrammar-n3-71.png">|なぜなら
<img src="jlptsenseigrammar-n3-72.png">|んだって
<img src="jlptsenseigrammar-n3-73.png">|に違いない（にちがいない）
<img src="jlptsenseigrammar-n3-74.png">|に反して（にはんして）
<img src="jlptsenseigrammar-n3-75.png">|にかけて
<img src="jlptsenseigrammar-n3-76.png">|に関する / に関して（にかんする / にかんして）
<img src="jlptsenseigrammar-n3-77.png">|にかわって / にかわり
<img src="jlptsenseigrammar-n3-78.png">|に比べて（にくらべて）
<img src="jlptsenseigrammar-n3-79.png">|に慣れる（になれる）
<img src="jlptsenseigrammar-n3-80.png">|において / における
<img src="jlptsenseigrammar-n3-81.png">|にしたがって
<img src="jlptsenseigrammar-n3-82.png">|にしても
<img src="jlptsenseigrammar-n3-83.png">|にしては
<img src="jlptsenseigrammar-n3-84.png">|に対して（にたいして）
<img src="jlptsenseigrammar-n3-85.png">|にとって
<img src="jlptsenseigrammar-n3-86.png">|について
<img src="jlptsenseigrammar-n3-87.png">|につれて
<img src="jlptsenseigrammar-n3-88.png">|には
<img src="jlptsenseigrammar-n3-89.png">|によると /によれば
<img src="jlptsenseigrammar-n3-90.png">|によって / による 
<img src="jlptsenseigrammar-n3-91.png">|のでしょうか
<img src="jlptsenseigrammar-n3-92.png">|を中心に（をちゅうしんに）
<img src="jlptsenseigrammar-n3-93.png">|をはじめ
<img src="jlptsenseigrammar-n3-94.png">|を込めて（をこめて）
<img src="jlptsenseigrammar-n3-95.png">|を通じて / を通して（をつうじて / をとおして）
<img src="jlptsenseigrammar-n3-96.png">|おかげで
<img src="jlptsenseigrammar-n3-97.png">|っぱなし
<img src="jlptsenseigrammar-n3-98.png">|っぽい
<img src="jlptsenseigrammar-n3-99.png">|さえ
<img src="jlptsenseigrammar-n3-100.png">|さえ～ば
<img src="jlptsenseigrammar-n3-101.png">|際に（さいに）
<img src="jlptsenseigrammar-n3-102.png">|最中に（さいちゅうに）
<img src="jlptsenseigrammar-n3-103.png">|さらに
<img src="jlptsenseigrammar-n3-104.png">|さて
<img src="jlptsenseigrammar-n3-105.png">|せいで
<img src="jlptsenseigrammar-n3-106.png">|せいぜい
<img src="jlptsenseigrammar-n3-107.png">|しばらく
<img src="jlptsenseigrammar-n3-108.png">|しかない
<img src="jlptsenseigrammar-n3-109.png">|そのために
<img src="jlptsenseigrammar-n3-110.png">|それとも
<img src="jlptsenseigrammar-n3-111.png">|そうもない /そうにない
<img src="jlptsenseigrammar-n3-112.png">|すでに
<img src="jlptsenseigrammar-n3-113.png">|すなわち
<img src="jlptsenseigrammar-n3-114.png">|数量 + は（すうりょう + は）
<img src="jlptsenseigrammar-n3-115.png">|たものだ
<img src="jlptsenseigrammar-n3-116.png">|たとたん
<img src="jlptsenseigrammar-n3-117.png">|たびに
<img src="jlptsenseigrammar-n3-118.png">|ために
<img src="jlptsenseigrammar-n3-119.png">|確かに（たしかに）
<img src="jlptsenseigrammar-n3-120.png">|たて
<img src="jlptsenseigrammar-n3-121.png">|たとえ～ても
<img src="jlptsenseigrammar-n3-122.png">|例えば（たとえば）
<img src="jlptsenseigrammar-n3-123.png">|たって
<img src="jlptsenseigrammar-n3-124.png">|てばかりいる
<img src="jlptsenseigrammar-n3-125.png">|てごらん(please) try to; (please) look
<img src="jlptsenseigrammar-n3-126.png">|てはじめて
<img src="jlptsenseigrammar-n3-127.png">|てからでないと 
<img src="jlptsenseigrammar-n3-128.png">|てしょうがない・てしかたがない
<img src="jlptsenseigrammar-n3-129.png">|て済む（てすむ）
<img src="jlptsenseigrammar-n3-130.png">|てはいけないから
<img src="jlptsenseigrammar-n3-131.png">|ている場合じゃない（ているばあいじゃない）
<img src="jlptsenseigrammar-n3-132.png">|的（てき）
<img src="jlptsenseigrammar-n3-133.png">|ても始まらない（てもはじまらない）
<img src="jlptsenseigrammar-n3-134.png">|ても構わない（てもかまわない）
<img src="jlptsenseigrammar-n3-135.png">|てもしょうがない / てもしかたがない
<img src="jlptsenseigrammar-n3-136.png">|と言えば（といえば）
<img src="jlptsenseigrammar-n3-137.png">|といい / たらいい
<img src="jlptsenseigrammar-n3-138.png">|といっても
<img src="jlptsenseigrammar-n3-139.png">|ということだ
<img src="jlptsenseigrammar-n3-140.png">|というのは
<img src="jlptsenseigrammar-n3-141.png">|と言うと（というと）
<img src="jlptsenseigrammar-n3-142.png">|というより
<img src="jlptsenseigrammar-n3-143.png">|とみえる / とみえて
<img src="jlptsenseigrammar-n3-144.png">|とすれば・としたら・とすると
<img src="jlptsenseigrammar-n3-145.png">|と共に（とともに）
<img src="jlptsenseigrammar-n3-146.png">|途中で/途中に（とちゅうで/とちゅうに）
<img src="jlptsenseigrammar-n3-147.png">|ところで
<img src="jlptsenseigrammar-n3-148.png">|ところが
<img src="jlptsenseigrammar-n3-149.png">|とおりに
<img src="jlptsenseigrammar-n3-150.png">|通す（とおす）
<img src="jlptsenseigrammar-n3-151.png">|として
<img src="jlptsenseigrammar-n3-152.png">|とても～ない
<img src="jlptsenseigrammar-n3-153.png">|とは限らない（とはかぎらない）
<img src="jlptsenseigrammar-n3-154.png">|つい
<img src="jlptsenseigrammar-n3-155.png">|ついに
<img src="jlptsenseigrammar-n3-156.png">|ついでに
<img src="jlptsenseigrammar-n3-157.png">|つまり
<img src="jlptsenseigrammar-n3-158.png">|つもりだった
<img src="jlptsenseigrammar-n3-159.png">|つもりで
<img src="jlptsenseigrammar-n3-160.png">|うちに
<img src="jlptsenseigrammar-n3-161.png">|上で（うえで）
<img src="jlptsenseigrammar-n3-162.png">|上に（うえに）
<img src="jlptsenseigrammar-n3-163.png">|は別として（はべつとして）
<img src="jlptsenseigrammar-n3-164.png">|はもちろん
<img src="jlptsenseigrammar-n3-165.png">|は～で有名（は～でゆうめい）
<img src="jlptsenseigrammar-n3-166.png">|わけだ
<img src="jlptsenseigrammar-n3-167.png">|わけではない
<img src="jlptsenseigrammar-n3-168.png">|わけがない
<img src="jlptsenseigrammar-n3-169.png">|わけにはいかない
<img src="jlptsenseigrammar-n3-170.png">|割に（わりに）
<img src="jlptsenseigrammar-n3-171.png">|わざと
<img src="jlptsenseigrammar-n3-172.png">|わざわざ
<img src="jlptsenseigrammar-n3-173.png">|よりも
<img src="jlptsenseigrammar-n3-174.png">|ようがない
<img src="jlptsenseigrammar-n3-175.png">|ような気がする（ようなきがする）
<img src="jlptsenseigrammar-n3-176.png">|ように
<img src="jlptsenseigrammar-n3-177.png">|ように見える（ようにみえる）
<img src="jlptsenseigrammar-n3-178.png">|ようとしない
<img src="jlptsenseigrammar-n3-179.png">|ようとする
<img src="jlptsenseigrammar-n3-180.png">|ずに
<img src="jlptsenseigrammar-n3-181.png">|ずにはいられない
<img src="jlptsenseigrammar-n3-182.png">|ずつ
